timestamp,dataset,epoch,disc_mean,disc_std,pred_mean,pred_std,cross_corr_mean,context_fid_mean,eval_command,checkpoint_type,checkpoint_path
2026-05-30T22:29:01,energy,50,0.1421,0.0147,0.2511,0.0001,0.6355,0.0521,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget f3_500,,
2026-05-30T23:06:00,energy,100,0.139,0.0051,0.2512,0.0002,0.5223,0.0465,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget f3_500,,
2026-05-30T23:41:52,energy,150,0.0434,0.0068,0.2506,0.0002,0.7293,0.0394,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget f3_500,,
2026-05-31T00:17:43,energy,200,0.0356,0.0058,0.2502,0.0002,0.5803,0.0373,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget f3_500,,
2026-05-31T00:53:12,energy,250,0.0311,0.0063,0.2502,0.0002,0.6282,0.0361,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget f3_500,,
2026-05-31T01:28:48,energy,300,0.0318,0.0051,0.25,0.0003,0.651,0.0321,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget f3_500,,
2026-05-31T02:04:08,energy,350,0.0474,0.0137,0.2497,0.0003,0.6068,0.0255,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget f3_500,,
2026-05-31T02:39:37,energy,400,0.0571,0.015,0.25,0.0003,0.6178,0.0327,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget f3_500,,
2026-05-31T03:13:50,energy,450,0.0265,0.0058,0.2501,0.0002,0.6325,0.0226,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget f3_500,,
2026-05-31T03:48:03,energy,500,0.0431,0.0125,0.2499,0.0003,0.5112,0.0217,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget f3_500,,
2026-06-02T23:20:13,energy,best,0.3574,0.0053,0.2506,0.0001,0.7677,0.098,python run_visualization.py --config ./configs/unconditional/energy.yaml --train_budget f3_500 --run_id 20260530-000001 --allow_partial_resume true,best,./logs\energy\energy-f3_500\20260530-000001\checkpoint
