timestamp            dataset  epoch  disc_mean  disc_std  pred_mean  pred_std  cross_corr_mean  context_fid_mean  eval_command                                                                                
2026-06-08T22:09:53  energy   50     0.1227     0.0089    0.2511     0.0001    0.6487           -33.5868          python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-08T23:24:18  energy   100    0.1044     0.0062    0.2509     0.0002    0.7608           -30.7538          python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-09T00:38:43  energy   150    0.0275     0.0066    0.2504     0.0003    0.7005           -34.2384          python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-09T01:51:03  energy   200    0.0316     0.0056    0.2501     0.0002    0.4208           -41.4536          python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-09T03:00:33  energy   250    0.0318     0.0061    0.2501     0.0003    0.4949           -39.6017          python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-09T04:09:13  energy   300    0.058      0.0136    0.25       0.0001    0.3966           -39.3486          python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-09T05:18:41  energy   350    0.096      0.009     0.25       0.0003    0.4965           -35.2288          python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-09T06:28:06  energy   400    0.0965     0.0137    0.2498     0.0004    0.6804           -34.9823          python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-09T07:38:21  energy   450    0.1016     0.0083    0.2501     0.0002    0.6348           -31.6647          python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-09T08:47:39  energy   500    0.1109     0.0056    0.2501     0.0003    0.6849           -38.0561          python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
