timestamp,dataset,epoch,disc_mean,disc_std,pred_mean,pred_std,cross_corr_mean,context_fid_mean,eval_command
2026-06-12T22:09:07,energy,50,0.1313,0.0089,0.251,0.0001,0.5614,0.0436,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-12T22:46:12,energy,100,0.1206,0.0073,0.2511,0.0002,0.6009,0.0398,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-12T23:23:26,energy,150,0.0543,0.0056,0.2505,0.0003,0.735,0.0326,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-13T00:00:21,energy,200,0.0289,0.0042,0.2502,0.0002,0.3416,0.0302,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-13T00:37:14,energy,250,0.0289,0.0036,0.2501,0.0002,0.6927,0.0211,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-13T01:14:00,energy,300,0.0368,0.0144,0.2502,0.0002,0.6521,0.0176,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-13T01:50:48,energy,350,0.0725,0.0143,0.25,0.0004,0.5726,0.0228,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-13T02:27:38,energy,400,0.0849,0.0132,0.2496,0.0004,0.4891,0.0221,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-13T03:04:27,energy,450,0.1017,0.0068,0.2501,0.0002,0.8302,0.0248,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-13T03:41:19,energy,500,0.1084,0.0037,0.2501,0.0003,0.6263,0.0318,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
