timestamp            dataset  epoch  disc_mean  disc_std  pred_mean  pred_std  cross_corr_mean  context_fid_mean  eval_command                                                                                      
2026-05-28T23:08:28  energy   50     0.1417     0.0165    0.2511     0.0001    0.5534           0.0434            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget no_late500
2026-05-28T23:44:20  energy   100    0.1495     0.0052    0.2512     0.0001    0.453            0.0681            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget no_late500
2026-05-29T00:20:21  energy   150    0.0746     0.0057    0.2506     0.0002    0.7497           0.0419            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget no_late500
2026-05-29T00:56:36  energy   200    0.041      0.0055    0.2505     0.0002    0.6707           0.0496            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget no_late500
2026-05-29T01:32:34  energy   250    0.0327     0.004     0.2502     0.0002    0.7101           0.0418            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget no_late500
2026-05-29T02:08:42  energy   300    0.0283     0.0055    0.25       0.0002    0.4811           0.0277            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget no_late500
2026-05-29T02:44:49  energy   350    0.0415     0.0038    0.2499     0.0003    0.571            0.0467            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget no_late500
2026-05-29T03:20:52  energy   400    0.0471     0.0162    0.2498     0.0002    0.578            0.0421            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget no_late500
2026-05-29T03:56:47  energy   450    0.0686     0.0109    0.2498     0.0004    0.738            0.0489            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget no_late500
2026-05-29T09:13:57  energy   500    0.0836     0.0135    0.2499     0.0003    0.668            0.0351            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget no_late500
