timestamp            dataset  epoch  disc_mean  disc_std  pred_mean  pred_std  cross_corr_mean  context_fid_mean  eval_command                                                                                              
2026-06-04T15:28:38  energy   50     0.139      0.008     0.2511     0.0001    0.5797           -34.6593          python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4              
2026-06-04T16:42:42  energy   100    0.1432     0.0063    0.251      0.0002    0.5264           -35.566           python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4              
2026-06-04T17:57:42  energy   150    0.0557     0.0087    0.2506     0.0002    0.7569           -36.0429          python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4              
2026-06-04T19:11:05  energy   200    0.0347     0.0074    0.2506     0.0003    0.4268           -36.7289          python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4              
2026-06-04T20:22:11  energy   250    0.027      0.0048    0.2501     0.0003    0.6134           -36.5006          python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4              
2026-06-04T21:32:30  energy   300    0.024      0.0053    0.2502     0.0003    0.4653           -38.994           python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4              
2026-06-04T22:52:46  energy   350    0.0439     0.0088    0.2499     0.0002    0.4769           -32.0345          python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4              
2026-06-05T00:11:19  energy   400    0.0497     0.014     0.2499     0.0002    0.613            -31.0857          python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4 --resume true
2026-06-05T01:29:10  energy   450    0.0818     0.0131    0.25       0.0003    0.6049           -38.7831          python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4 --resume true
2026-06-05T02:46:31  energy   500    0.0817     0.0131    0.25       0.0002    0.6875           -37.4076          python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4 --resume true
