timestamp,dataset,epoch,disc_mean,disc_std,pred_mean,pred_std,cross_corr_mean,context_fid_mean,eval_command
2026-06-05T22:48:31,energy,50,0.244,0.0206,0.2512,0.0001,0.5731,-32.166,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro6
2026-06-06T00:03:04,energy,100,0.1563,0.0053,0.2511,0.0002,0.6592,-38.7003,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro6
2026-06-06T01:18:22,energy,150,0.0708,0.0104,0.2507,0.0003,0.659,-35.5616,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro6
2026-06-06T02:33:14,energy,200,0.0439,0.0047,0.2501,0.0002,0.4141,-41.0038,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro6
2026-06-06T03:44:20,energy,250,0.0282,0.0054,0.2502,0.0002,0.5196,-32.0499,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro6
2026-06-06T04:55:08,energy,300,0.0243,0.0029,0.25,0.0003,0.4195,-35.9607,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro6
2026-06-06T06:05:43,energy,350,0.0365,0.0062,0.2499,0.0002,0.61,-34.8782,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro6
2026-06-06T07:16:05,energy,400,0.0324,0.0149,0.25,0.0003,0.6943,-38.5867,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro6
2026-06-06T08:26:31,energy,450,0.0518,0.0123,0.2499,0.0003,0.6821,-36.3375,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro6
2026-06-06T09:37:04,energy,500,0.0871,0.0103,0.2499,0.0003,0.6661,-36.6032,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro6
