timestamp            dataset  epoch  disc_mean  disc_std  pred_mean  pred_std  cross_corr_mean  context_fid_mean  eval_command                                                                              
2026-06-01T16:13:27  stocks    100    0.0128     0.0079    0.0368     0.0       0.0037           0.0195            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget a2
2026-06-01T16:28:51  stocks    200    0.0153     0.0131    0.0367     0.0001    0.0032           0.0074            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget a2
2026-06-01T16:43:32  stocks    300    0.0134     0.0059    0.0366     0.0001    0.0069           0.0136            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget a2
2026-06-01T16:58:20  stocks    400    0.0083     0.0034    0.0367     0.0001    0.006            0.0112            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget a2
2026-06-01T17:14:08  stocks    500    0.012      0.0088    0.0367     0.0002    0.0076           0.0114            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget a2
2026-06-01T17:30:20  stocks    600    0.012      0.0065    0.0367     0.0001    0.0073           0.0079            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget a2
2026-06-01T17:45:59  stocks    700    0.014      0.0112    0.0366     0.0002    0.0081           0.0156            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget a2
2026-06-01T18:02:06  stocks    800    0.0112     0.0067    0.0367     0.0002    0.0049           0.008             python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget a2
2026-06-01T18:17:32  stocks    900    0.022      0.01      0.0367     0.0001    0.0077           0.0202            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget a2
2026-06-01T18:32:50  stocks    1000   0.0114     0.0067    0.0367     0.0001    0.0078           0.0179            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget a2
