timestamp            dataset  epoch  disc_mean  disc_std  pred_mean  pred_std  cross_corr_mean  context_fid_mean  eval_command                                                                                                
2026-05-31T21:42:51  stocks    50     0.0197     0.0132    0.037      0.0       0.0133           0.0142            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget f3_500              
2026-05-31T21:52:20  stocks    100    0.0207     0.0087    0.0368     0.0001    0.0094           0.0111            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget f3_500              
2026-05-31T22:01:19  stocks    150    0.0254     0.0118    0.0368     0.0001    0.0025           0.0175            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget f3_500              
2026-06-01T14:29:45  stocks    200    0.0261     0.0091    0.0367     0.0001    0.0068           0.0182            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget f3_500 --resume true
2026-06-01T14:39:09  stocks    250    0.0095     0.0043    0.0367     0.0       0.0091           0.0134            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget f3_500 --resume true
2026-06-01T14:49:19  stocks    300    0.024      0.0113    0.0368     0.0001    0.0043           0.0186            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget f3_500 --resume true
2026-06-01T14:58:26  stocks    350    0.0211     0.0072    0.0368     0.0001    0.0058           0.0186            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget f3_500 --resume true
2026-06-01T15:07:27  stocks    400    0.0119     0.0109    0.0367     0.0001    0.0086           0.0139            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget f3_500 --resume true
2026-06-01T15:16:14  stocks    450    0.0174     0.0103    0.0366     0.0001    0.0087           0.0177            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget f3_500 --resume true
2026-06-01T15:25:17  stocks    500    0.013      0.0119    0.0366     0.0001    0.0067           0.0072            python run_unconditional.py --config ./configs/unconditional/stocks.yaml --train_budget f3_500 --resume true
